,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),Column 1,Date,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,2429,49,,1/1/19,44131,297823,22145
1,1062,36,,1/2/19,58975,297908,38249
2,969,31,,1/3/19,62500,297976,42181
3,1173,33,,1/4/19,65739,298017,44420
4,462,8,,1/5/19,24326,298048,17636
5,1711,31,,1/6/19,50481,298094,31764
6,514,18,,1/7/19,52310,298152,36928
7,654,23,,1/8/19,60469,298218,41728
8,646,23,,1/9/19,63480,298263,44882
9,478,13,,1/10/19,53225,298299,39449
10,465,23,,1/11/19,44226,298331,33196
11,772,26,,1/12/19,35133,298361,25431
12,700,18,,1/13/19,33018,298399,23020
13,402,9,,1/14/19,48021,298439,35408
14,511,19,,1/15/19,54751,298470,39538
15,513,7,,1/16/19,56553,298510,40854
16,463,14,,1/17/19,53430,298546,39417
17,542,27,,1/18/19,47215,298574,34478
18,865,28,,1/19/19,34580,298595,23933
19,368,8,,1/20/19,19131,298616,14440
20,141,5,,1/21/19,11911,298632,10392
21,315,14,,1/22/19,37788,298665,28913
22,526,10,,1/23/19,59442,298692,42028
23,260,7,,1/24/19,27931,298721,20328
24,621,21,,1/25/19,54567,298748,39298
25,933,18,,1/26/19,38634,298778,26607
26,1510,19,,1/27/19,48280,298828,30338
27,448,13,,1/28/19,49109,298878,36173
28,341,12,,1/29/19,42066,298919,31355
29,263,8,,1/30/19,33178,298947,25496
30,186,8,,1/31/19,22917,298975,18882
31,255,11,,2/1/19,31752,298998,25289
32,627,19,,2/2/19,30802,299032,22280
33,1743,24,,2/3/19,52757,299103,32274
34,1180,42,,2/4/19,73262,299172,47049
35,1770,42,,2/5/19,87917,299249,54710
36,754,27,,2/6/19,55696,299296,39616
37,765,22,,2/7/19,62728,299341,43840
38,864,22,,2/8/19,52442,299383,36964
39,811,10,,2/9/19,33607,299409,24041
40,935,6,,2/10/19,35873,299449,24434
41,563,20,,2/11/19,54362,299493,39197
42,150,4,,2/12/19,22190,299521,16044
43,439,21,,2/13/19,48870,299551,35523
